u_fraction,v_fraction,rotation_deg,best_height_A,best_LJ_kJmol,best_Coulomb_kJmol,best_total_kJmol
0.0,0.0,0.0,3.2999999999999994,-99.99760753570847,-0.06960089214306953,-100.06720842785154
0.0,0.0,15.0,3.2999999999999994,-100.19921185671299,-0.09541135993561722,-100.2946232166486
0.0,0.0,30.0,3.2999999999999994,-100.4290583199205,-0.035602736716515704,-100.46466105663701
0.0,0.0,45.0,3.2999999999999994,-100.05407628293113,-0.04859034806330298,-100.10266663099443
0.0,0.0,60.0,3.2999999999999994,-99.94014457422371,-0.0501606134278485,-99.99030518765156
0.0,0.2,0.0,3.2999999999999994,-99.92059287315908,-0.04245849957450032,-99.96305137273357
0.0,0.2,15.0,3.2999999999999994,-100.10313512736677,-0.08729833029098755,-100.19043345765776
0.0,0.2,30.0,3.2999999999999994,-100.40594169109632,-0.044600644884519536,-100.45054233598084
0.0,0.2,45.0,3.2999999999999994,-100.00918752551848,-0.05663134428571537,-100.0658188698042
0.0,0.2,60.0,3.2999999999999994,-99.88222868002599,-0.029676094144412968,-99.9119047741704
0.0,0.4,0.0,3.2999999999999994,-99.80368601496488,0.0008619048802533946,-99.80282411008463
0.0,0.4,15.0,3.2999999999999994,-99.9425546173298,-0.07391793859646745,-100.01647255592627
0.0,0.4,30.0,3.2999999999999994,-100.41597449669577,-0.05948260292776508,-100.47545709962353
0.0,0.4,45.0,3.2999999999999994,-99.92653877289052,-0.06913791554176063,-99.99567668843228
0.0,0.4,60.0,3.2999999999999994,-99.79793911190919,0.0027331366976484084,-99.79520597521154
0.0,0.6000000000000001,0.0,3.2999999999999994,-99.80446507578267,0.0006901690924974169,-99.80377490669018
0.0,0.6000000000000001,15.0,3.2999999999999994,-99.94223100038482,-0.07404773167490175,-100.01627873205972
0.0,0.6000000000000001,30.0,3.2999999999999994,-100.41409452759278,-0.059541966324864415,-100.47363649391764
0.0,0.6000000000000001,45.0,3.2999999999999994,-99.92644849418978,-0.06931841544955963,-99.99576690963934
0.0,0.6000000000000001,60.0,3.2999999999999994,-99.79860291659541,0.0026071804232228324,-99.79599573617219
0.0,0.8,0.0,3.2999999999999994,-99.9215451114145,-0.04291512622483884,-99.96446023763934
