z_nm,na_over_bulk,cl_over_bulk,na_block_sd,cl_block_sd,common_mode,charge_mode,debye_0p693nm_fit
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-4.373777623188135344e-01
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-3.786244398406934941e-01
2.500000000000000000e-01,2.284906428743312817e-02,9.772241621931514188e-03,8.568908667328458198e-03,6.949359085602343361e-03,-9.836893470453176302e-01,6.538411332750848626e-03,-3.277635005599198181e-01
3.500000000000000333e-01,2.276229568887325472e-01,1.087650492520977563e+00,1.167370960108136124e-01,4.578025296631732521e-01,-3.423632752951449310e-01,-4.300137678161224941e-01,-2.837347540071458729e-01
4.500000000000000111e-01,8.037664513262868793e-01,6.019700839109812796e-01,4.061219691479389660e-01,1.934759673004858571e-01,-2.971317323813659206e-01,1.008981837076527999e-01,-2.456204259899831821e-01
5.500000000000000444e-01,7.586467800751530710e-01,8.632146766039504593e-01,4.062415691291219044e-01,2.606370036749569574e-01,-1.890692716604482349e-01,-5.228394826439869414e-02,-2.126260276948004069e-01
6.500000000000001332e-01,9.877158802732168841e-01,1.738481784541616726e+00,4.817704635088591036e-01,5.730985098866269167e-01,3.630988324074168050e-01,-3.753829521341999209e-01,-1.840637946581599460e-01
7.500000000000000000e-01,1.474487718194102293e+00,1.065174336790535303e+00,7.066757548722900628e-01,2.802695820935540150e-01,2.698310274923187979e-01,2.046566907017834946e-01,-1.593383503951420199e-01
8.500000000000000888e-01,7.569114081039556297e-01,9.511648512013342049e-01,2.979271918157901933e-01,1.421088020326354284e-01,-1.459618703473550827e-01,-9.712672154868928764e-02,-1.379342958445277934e-01
9.499999999999999556e-01,6.750596967958091277e-01,1.097422734142909029e+00,2.675374919490581815e-01,1.374483797503839866e-01,-1.137587845306409218e-01,-2.111815186735499505e-01,-1.194054659342437541e-01
1.050000000000000044e+00,6.302292542065415226e-01,1.066803043727523770e+00,1.764089140844473380e-01,1.965016605646408288e-01,-1.514838510329673538e-01,-2.182868947604911236e-01,-1.033656293214003791e-01
1.150000000000000133e+00,6.715889528534141339e-01,9.104471777766194318e-01,1.294849804232338364e-01,1.463323784045726939e-01,-2.089819346849832171e-01,-1.194291124616026489e-01,-8.948043744407016553e-02
1.250000000000000000e+00,6.848934712992613694e-01,1.025759628915411392e+00,1.697969853024903775e-01,1.557361466620582890e-01,-1.446734498926636192e-01,-1.704330788080750114e-01,-7.746045506370725919e-02
1.350000000000000089e+00,8.228555430094588452e-01,1.079506957836034786e+00,2.873177856722469725e-01,1.770295456053368466e-01,-4.881874957725318431e-02,-1.283257074132879705e-01,-6.705512702066293573e-02
1.450000000000000178e+00,8.503322658867519257e-01,1.086673268358784528e+00,2.964630248372295274e-01,2.628039259536545935e-01,-3.149723287723177334e-02,-1.181705012360163010e-01,-5.804755544050433508e-02
1.550000000000000044e+00,8.792551320733760223e-01,1.077226768124250667e+00,2.276094452151458392e-01,2.875796670292263268e-01,-2.175904990118665561e-02,-9.898581802543732211e-02,-5.024997852259845826e-02
1.650000000000000133e+00,9.989957980860002529e-01,1.071363423151091787e+00,3.071317397237814384e-01,4.143540658011944378e-01,3.517961061854602001e-02,-3.618381253254576713e-02,-4.349985666682654878e-02
1.750000000000000000e+00,9.752790478129684804e-01,9.882993693646738853e-01,3.476985892414691248e-01,3.480696640938835684e-01,-1.821079141117881717e-02,-6.510160775852702475e-03,-3.765648435418685741e-02
1.850000000000000089e+00,1.002755770690261450e+00,9.795043519049355663e-01,3.614208299139090586e-01,3.313098134998556654e-01,-8.869938702401491959e-03,1.162570939266294179e-02,-3.259805715632414086e-02
1.950000000000000178e+00,9.287132332525034339e-01,9.918825246260488671e-01,3.625008496096916444e-01,3.182869267086994580e-01,-3.970212106072384950e-02,-3.158464568677271656e-02,-2.821913273613461948e-02
2.049999999999999822e+00,9.165656294541213445e-01,9.746182310939698334e-01,2.525985358753355392e-01,3.313673696350317166e-01,-5.440806972595441104e-02,-2.902630081992424449e-02,-2.442843291429397032e-02
2.150000000000000355e+00,9.509838402162040794e-01,9.329233335070620248e-01,1.810919036086946488e-01,2.667569477793627630e-01,-5.804641313836694794e-02,9.030253354571027291e-03,-2.114694098603617581e-02
2.250000000000000000e+00,9.457777243026117553e-01,8.540939177568144247e-01,1.491052838723653795e-01,2.200386204645078114e-01,-1.000641789702869100e-01,4.584190327289866529e-02,-1.830625462696906791e-02
2.350000000000000533e+00,1.036595524128611778e+00,8.075128993589408832e-01,2.879961704250813548e-01,1.430740579420787806e-01,-7.794578825622366924e-02,1.145413123848354475e-01,-1.584716005443589926e-02
2.450000000000000178e+00,1.117290320789293245e+00,8.342236931255536669e-01,3.087272333691076787e-01,1.830784278501461915e-01,-2.424299304257654386e-02,1.415333138318697892e-01,-1.371839772298025055e-02
2.549999999999999822e+00,1.127702552616478116e+00,8.091416062959295719e-01,3.045566407357702676e-01,2.247306758477709554e-01,-3.157792054379615632e-02,1.592804731602742718e-01,-1.187559382497627852e-02
