z_nm,rho_mean_e_per_nm3,rho_2ns_block_sd_e_per_nm3,phi_mean_mV_relative_to_bulk,phi_2ns_block_sd_mV,E_mean_V_per_m,exponential_fit_mV
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.354972707565960661e+02,1.668142434805254766e+02,1.088359737396240234e+01,-1.658031523382889816e+01
1.500000000000000222e-01,2.394825444074680121e+00,5.438010722641562628e-02,2.716058622172390358e+01,1.684809924666845689e+02,2.166733679813845158e+09,-1.794156478169495017e+01
2.500000000000000000e-01,-2.242401801738739930e+00,1.586545752762162087e-01,-1.964080951238852322e+02,1.718404810853835443e+02,2.304639947098336220e+09,-1.927585978255269694e+01
3.500000000000000333e-01,-4.767784117633730112e+00,2.383979185449262850e-01,-1.097465578967987625e+02,1.752303243135069692e+02,-4.037870691640066147e+09,-2.058373397219327572e+01
4.500000000000000111e-01,1.005316507646413271e+01,1.628106061738490151e-01,5.494139644538559253e+01,1.722877228777079210e+02,7.441116047963790894e+08,-2.186571051773113084e+01
5.500000000000000444e-01,-8.078997492276391412e+00,3.652644280132591459e-01,-1.087768027446043817e+02,1.735469223469667099e+02,2.530252379003419876e+09,-2.312230222687770720e+01
6.500000000000001332e-01,2.537657537708839506e+00,3.446504481847491586e-01,-1.111238987315787909e+02,1.873562970474490612e+02,-2.483310459263932228e+09,-2.435401175307144683e+01
7.500000000000000000e-01,3.731395947021581283e-01,1.856860592810645194e-01,5.529029154411446711e+00,1.952209504886769480e+02,1.502519015441277027e+08,-2.556133179654585064e+01
8.500000000000000888e-01,1.230968645713564069e-01,1.787167901919590740e-01,-3.194481684502270724e+01,2.014266806677917998e+02,5.992250184445544481e+08,-2.674474530141610629e+01
9.499999999999999556e-01,-9.983627955745209004e-01,1.926320891487771358e-01,-5.227219565735047269e+01,2.119137381936487827e+02,-1.926774421979993582e+08,-2.790472564886323781e+01
1.050000000000000044e+00,8.082572199189044237e-01,1.247451569185593495e-01,-2.440448953962726009e+01,2.162439636027841345e+02,-3.646766801564655304e+08,-2.904173684649281739e+01
1.150000000000000133e+00,-8.275297641172874030e-02,2.038771066239840613e-01,-2.075705222697776975e+01,2.089335523543513489e+02,2.917279339034754634e+08,-3.015623371394426400e+01
1.250000000000000000e+00,-2.450069103109979440e-01,3.015808311414908682e-01,-3.510270271127324548e+01,2.005799904124853015e+02,-4.814924217565208673e+06,-3.124866206482469622e+01
1.350000000000000089e+00,2.113423731746544854e-01,2.193203536774115670e-01,-3.309830000303337272e+01,2.041602912383509931e+02,-3.527312994723233581e+07,-3.231945888504039033e+01
1.450000000000000178e+00,-9.209183971262008273e-02,2.457095437562568097e-01,-3.496562122955116081e+01,2.108752818203691106e+02,7.261955447758942842e+07,-3.336905250759691199e+01
1.550000000000000044e+00,-1.482700695314863835e-02,2.465691577447005622e-01,-3.739080108919573320e+01,2.189808659831083446e+02,-2.411595728469812125e+07,-3.439786278393803087e+01
1.650000000000000133e+00,-9.641222507714183876e-02,1.638554505714503451e-01,-2.994698495521941339e+01,2.291851010468020320e+02,-1.247603653948277235e+08,-3.540630125189196065e+01
1.750000000000000000e+00,1.536996069882866633e-01,1.835320349130407369e-01,-2.006250471264464608e+01,2.360887040684836791e+02,-7.292923945666837692e+07,-3.639477130029189311e+01
1.850000000000000089e+00,-4.681820694809858685e-02,1.618258996793023874e-01,-1.760466235136770763e+01,2.388111297302380365e+02,2.377239223113015294e+07,-3.736366833033697787e+01
1.950000000000000178e+00,1.137852188928362984e-01,2.202329653022104816e-01,-2.301134323686426697e+01,2.410243669804726210e+02,8.436122547879981995e+07,-3.831337991375802687e+01
2.049999999999999822e+00,-8.090521814640157239e-02,2.342279506746112183e-01,-3.293488535488498314e+01,2.421074915031083492e+02,1.141096168816139549e+08,-3.924428594785138813e+01
2.150000000000000355e+00,2.105068980283422361e-02,1.519182281354258257e-01,-4.163815863676134654e+01,2.377545986167938281e+02,5.995584875591376424e+07,-4.015675880744296222e+01
2.250000000000000000e+00,-4.260222197052306731e-02,9.338126969376998876e-02,-4.665879916974308372e+01,2.303392916144598814e+02,4.045696190372090042e+07,-4.105116349384303476e+01
2.350000000000000533e+00,8.880476101161828908e-03,1.022970802778940397e-01,-4.917899707523942965e+01,2.254670941669265574e+02,9.946996206205938011e+06,-4.192785778085174542e+01
2.450000000000000178e+00,-2.762515646431014382e-02,1.547416777556532008e-01,-4.932572821121205919e+01,2.257769327496767460e+02,-7.012373486753858626e+06,-4.278719235787328756e+01
2.549999999999999822e+00,4.200352124607749371e-02,2.435694719654658003e-01,-4.927493674688909664e+01,2.212862652435283906e+02,5.996544200294367969e+06,-4.362951097019642788e+01
2.650000000000000355e+00,-6.040576536334282126e-02,1.892443320057400902e-01,-4.904211375167710685e+01,2.074065557013297223e+02,-1.065300410453356057e+07,-4.445515055649714498e+01
2.750000000000000000e+00,8.709452134612807872e-02,9.780543088971181687e-02,-4.918415449238877812e+01,1.981365449264216352e+02,1.349381891876530647e+07,-4.526444138361866010e+01
2.850000000000000533e+00,-1.228338461413176069e-01,7.220820899145130589e-02,-4.891676722620058371e+01,1.964636010542456290e+02,-1.884156424252867699e+07,-4.605770717868249164e+01
2.950000000000000178e+00,1.299364486887691350e-01,1.704018287667085352e-01,-4.735391706071223439e+01,1.924690242977852961e+02,-1.241543906723883748e+07,-4.683526525858368217e+01
3.049999999999999822e+00,-6.765856248922899607e-02,2.462050095297150520e-01,-4.892968898784627640e+01,1.815232568432306834e+02,4.393087760992025584e+07,-4.759742665692177610e+01
3.150000000000000355e+00,-5.528942906738281565e-02,2.701875053084243361e-01,-4.776087758219582469e+01,1.755485595222081656e+02,-6.730710572292903066e+07,-4.834449624841840887e+01
3.250000000000000000e+00,5.622221847180345483e-02,1.890213376103020426e-01,-4.107236436949713010e+01,1.799011909882394775e+02,-6.646315853104482591e+07,-4.907677287087121698e+01
3.350000000000000533e+00,2.641494301144945225e-02,1.717846664791878586e-01,-3.816437359001345442e+01,1.864393118090352175e+02,8.303342941371627152e+06,-4.979454944469302546e+01
3.450000000000000178e+00,-4.332147411224758493e-02,8.890932309729863980e-02,-3.822989326579184421e+01,1.925765338581764752e+02,-6.992949425803244114e+06,-5.049811309008381954e+01
3.549999999999999822e+00,-1.869401365748604021e-02,1.106174360313063043e-01,-3.472515282240740220e+01,1.973037877301584615e+02,-6.310185944188693166e+07,-5.118774524188273745e+01
3.650000000000000355e+00,1.813246274272262148e-01,1.416613991933244332e-01,-3.577202138349683480e+01,1.984290190576020905e+02,8.403923066367599368e+07,-5.186372176214572960e+01
3.750000000000000000e+00,-2.472804816646477777e-01,1.787971751556528266e-01,-4.119224535829047085e+01,1.969823185952395761e+02,2.436524883219656348e+07,-5.252631305049402499e+01
3.850000000000000533e+00,1.101302159633837097e-01,1.771812569272311899e-01,-3.742439114713985759e+01,1.970532460334569294e+02,-9.972233305520859361e+07,-5.317578415227763600e+01
3.950000000000000178e+00,8.251006803861935315e-03,1.504483047789927919e-01,-3.280746634173453913e+01,1.992072166593460452e+02,7.383836947102631442e+06,-5.381239486459701027e+01
4.050000000000000711e+00,-9.970196267765202291e-02,1.244914516192911491e-01,-2.940880811470758616e+01,2.017892378269694689e+02,-7.535700148764063418e+07,-5.443639984022533440e+01
4.150000000000000355e+00,6.926174286826469739e-02,2.007089496070995072e-01,-2.049605876776860924e+01,2.089863879690705346e+02,-1.028979854511383325e+08,-5.504804868947302054e+01
4.250000000000000000e+00,1.123433755830237080e-01,2.424500720528188769e-01,-1.842167996383159334e+01,2.204965857913888954e+02,6.141040937239761651e+07,-5.564758608003521090e+01
4.349999999999999645e+00,-9.119649693378004129e-02,8.058445575152956009e-02,-2.551935960046936103e+01,2.236633043340107179e+02,8.054318336035831273e+07,-5.623525183486206913e+01
4.450000000000000178e+00,-2.143725072702399800e-02,6.927347931157834537e-02,-2.847837268329178784e+01,2.229177100447590192e+02,-2.136292170391010121e+07,-5.681128102809116598e+01
4.550000000000000711e+00,-6.355992592794010299e-02,2.105710965371944410e-01,-2.249699349668443560e+01,2.238553806446732608e+02,-9.826466202823737264e+07,-5.737590407908029277e+01
4.650000000000000355e+00,4.163505291614342380e-02,1.285730344647675327e-01,-1.167869382517888788e+01,2.192252535740809947e+02,-1.181013314018732011e+08,-5.792934684457824090e+01
4.750000000000000000e+00,2.658462764658001132e-02,1.676100656104509978e-01,-2.954670345397980569e+00,2.076168280001797655e+02,-5.637913819374480844e+07,-5.847183070907053803e+01
4.850000000000000533e+00,4.634854123221059108e-02,2.756940659673131067e-01,-6.160941245620943363e-01,1.979976664566242164e+02,9.607613777027830482e+06,-5.900357267333623668e+01
