branch,target_height_nm,mean_probe_height_above_graphene_max_nm,slab_start_nm,slab_end_nm,delta_sigma_environment_e_per_nm2,delta_sigma_environment_block_sd_e_per_nm2,delta_sigma_probe_e_per_nm2,delta_sigma_net_e_per_nm2,delta_sigma_net_block_sd_e_per_nm2,delta_sigma_net_C_per_m2,net_signal_to_block_sd
probe_0p5nm,0.500000,0.478107170,0.000000,1.000000,0.019157912048,0.076214610919,0.030529460992,0.049687373040,0.076214610919,0.007960794809,0.651940
probe_0p5nm,0.500000,0.478107170,0.000000,2.000000,-0.049081039809,0.041600938160,0.030529460992,-0.018551578816,0.041600938160,-0.002972290610,0.445941
probe_1p0nm,1.000000,0.970338438,0.000000,1.000000,0.004247948398,0.035126365570,0.019043129134,0.023291077531,0.035245883663,0.003731642020,0.660817
probe_1p0nm,1.000000,0.970338438,0.000000,2.000000,-0.009850666111,0.016340028888,0.030529460992,0.020678794881,0.016340028888,0.003313108198,1.265530
probe_1p5nm,1.500000,1.449822766,0.000000,1.000000,0.011164608771,0.049709593339,0.000000000000,0.011164608771,0.049709593339,0.001788767530,0.224597
probe_1p5nm,1.500000,1.449822766,0.000000,2.000000,-0.026292825422,0.061246478245,0.030529460992,0.004236635570,0.061246478245,0.000678783852,0.069174
probe_2p0nm,2.000000,1.976360512,0.000000,1.000000,0.003069490044,0.032585256598,0.000000000000,0.003069490044,0.032585256598,0.000491786523,0.094199
probe_2p0nm,2.000000,1.976360512,0.000000,2.000000,-0.087472744427,0.063824304724,0.019647672916,-0.067825071511,0.066812626740,-0.010866774477,1.015153
probe_3p0nm,3.000000,2.971765476,0.000000,1.000000,0.010519642774,0.111264383751,0.000000000000,0.010519642774,0.111264383751,0.001685432585,0.094546
probe_3p0nm,3.000000,2.971765476,0.000000,2.000000,-0.056920522966,0.033833993297,0.000000000000,-0.056920522966,0.033833993297,-0.009119673189,1.682347
