stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
pull,1.000,1.000,2.058236,2.096186,2.050413,0.360038,300.118
pull,10.000,10.000,2.111294,2.121764,2.082952,0.027402,300.844
pull,20.000,20.000,2.170247,2.117784,2.076499,0.688112,298.614
pull,30.000,30.000,2.229201,2.177167,2.127055,0.676869,300.024
pull,40.000,40.000,2.288154,2.195835,2.145870,2.130678,299.274
pull,50.000,50.000,2.347107,2.226931,2.191507,3.610558,301.532
pull,60.000,60.000,2.406060,2.387053,2.344661,0.090318,299.714
pull,70.000,70.000,2.465013,2.456283,2.414803,0.019054,299.495
pull,80.000,80.000,2.523967,2.599024,2.562908,1.408398,299.610
pull,90.000,90.000,2.582920,2.654626,2.614193,1.285448,299.730
pull,100.000,100.000,2.641873,2.606050,2.565967,0.320828,301.517
pull,110.000,110.000,2.700826,2.715713,2.671380,0.055408,299.664
pull,120.000,120.000,2.759779,2.726509,2.690192,0.276725,301.389
pull,130.000,130.000,2.818732,2.742080,2.693199,1.468893,300.803
pull,140.000,140.000,2.877686,2.803139,2.760972,1.389307,300.565
pull,150.000,150.000,2.936639,2.914218,2.869337,0.125677,300.097
pull,160.000,160.000,2.995592,3.039967,2.985370,0.492294,300.498
pull,170.000,170.000,3.054545,2.989799,2.952269,1.048016,298.423
pull,180.000,180.000,3.113498,3.097139,3.059234,0.066907,299.656
pull,190.000,190.000,3.172451,3.189097,3.141104,0.069270,298.599
pull,200.000,200.000,3.231405,3.244115,3.201988,0.040388,300.789
pull,210.000,210.000,3.290358,3.259738,3.213791,0.234401,298.306
pull,220.000,220.000,3.349311,3.325674,3.279617,0.139675,300.338
pull,230.000,230.000,3.408264,3.340491,3.303321,1.148298,298.668
pull,240.000,240.000,3.467217,3.377799,3.332889,1.998934,299.445
pull,250.000,250.000,3.526171,3.533035,3.484073,0.011780,300.025
pull,260.000,260.000,3.585124,3.610361,3.572065,0.159228,300.529
pull,270.000,270.000,3.644077,3.719196,3.670674,1.410708,300.479
pull,280.000,280.000,3.703030,3.699117,3.661520,0.003827,301.998
pull,290.000,290.000,3.761983,3.708447,3.667638,0.716543,300.891
pull,300.000,300.000,3.820936,3.773078,3.735690,0.572614,299.817
pull,310.000,310.000,3.879890,3.829223,3.789598,0.641781,300.726
pull,320.000,320.000,3.938843,3.963120,3.928856,0.147352,301.892
pull,330.000,330.000,3.997796,3.973141,3.928353,0.151969,300.590
pull,340.000,340.000,4.056749,3.896968,3.846400,6.382510,298.437
pull,350.000,350.000,4.115702,4.066448,4.024886,0.606476,299.782
pull,360.000,360.000,4.174656,4.007057,3.965389,7.022333,299.213
pull,370.000,370.000,4.233609,4.134991,4.096503,2.431355,300.366
pull,380.000,380.000,4.292562,4.265714,4.219369,0.180202,300.885
pull,390.000,390.000,4.351515,4.291706,4.245169,0.894257,301.076
pull,400.000,400.000,4.410468,4.363990,4.321788,0.540057,300.977
pull,410.000,410.000,4.469421,4.398643,4.359170,1.252394,299.955
pull,420.000,420.000,4.528375,4.505460,4.458464,0.131268,299.104
pull,430.000,430.000,4.587328,4.688949,4.646982,2.581691,300.244
pull,440.000,440.000,4.646281,4.697961,4.661132,0.667720,299.794
pull,450.000,450.000,4.705234,4.630673,4.595550,1.389822,300.443
pull,460.000,460.000,4.764187,4.667807,4.624775,2.322310,298.088
pull,470.000,470.000,4.823140,4.692214,4.649218,4.285444,300.669
pull,480.000,480.000,4.882094,4.656479,4.609658,12.725481,298.782
pull,490.000,490.000,4.941047,4.927729,4.884337,0.044340,300.593
pull,500.000,500.000,5.000000,4.956555,4.903815,0.471880,300.499
settle,10.000,510.000,5.000000,4.999932,4.962399,0.000001,300.032
settle,20.000,520.000,5.000000,5.041571,5.001991,0.432030,299.966
settle,30.000,530.000,5.000000,5.041682,5.002816,0.434342,300.677
settle,40.000,540.000,5.000000,5.015684,4.977840,0.061494,301.442
settle,50.000,550.000,5.000000,5.030285,4.992176,0.229294,299.128
settle,60.000,560.000,5.000000,4.992130,4.956755,0.015483,300.091
settle,70.000,570.000,5.000000,5.023034,4.983928,0.132637,300.275
settle,80.000,580.000,5.000000,5.224081,5.177493,12.553025,301.313
settle,90.000,590.000,5.000000,5.103879,5.067981,2.697685,299.128
settle,100.000,600.000,5.000000,5.014768,4.974632,0.054521,301.400
settle,110.000,610.000,5.000000,4.933779,4.889606,1.096297,301.310
settle,120.000,620.000,5.000000,4.886470,4.854271,3.222301,299.174
