branch,target_nm,radius_nm,environment_charge_e,effective_enclosed_charge_e,water_charge_e,ion_charge_e,ligand_charge_e
probe_0p5nm,0.500000,0.010000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.030000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.050000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.070000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.090000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.110000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.130000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.150000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.170000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.190000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.210000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_0p5nm,0.500000,0.230000,-0.685866178,0.314133822,-0.685866178,0.000000000,0.000000000
probe_0p5nm,0.500000,0.250000,-4.686752218,-3.686752218,-4.686752218,0.000000000,0.000000000
probe_0p5nm,0.500000,0.270000,-5.083478733,-4.083478733,-5.083478733,0.000000000,0.000000000
probe_0p5nm,0.500000,0.290000,-2.602256970,-1.602256970,-2.602256970,0.000000000,0.000000000
probe_0p5nm,0.500000,0.310000,-0.625348574,0.374651426,-0.625348574,0.000000000,0.000000000
probe_0p5nm,0.500000,0.330000,0.289139663,1.289139663,0.289139663,0.000000000,0.000000000
probe_0p5nm,0.500000,0.350000,0.672417822,1.672417822,0.672417822,0.000000000,0.000000000
probe_0p5nm,0.500000,0.370000,0.914117683,1.914117683,0.894315703,0.019801980,0.000000000
probe_0p5nm,0.500000,0.390000,0.648327366,1.648327366,0.618624396,0.029702970,0.000000000
probe_0p5nm,0.500000,0.410000,-0.044633545,0.955366455,-0.094138495,0.049504950,0.000000000
probe_0p5nm,0.500000,0.430000,-0.945673426,0.054326574,-0.995178376,0.049504950,0.000000000
probe_0p5nm,0.500000,0.450000,-1.735949644,-0.735949644,-1.795355584,0.059405941,0.000000000
probe_0p5nm,0.500000,0.470000,-2.374746574,-1.374746574,-2.434152515,0.059405941,0.000000000
probe_0p5nm,0.500000,0.490000,-2.653985248,-1.653985248,-2.723292178,0.069306931,0.000000000
probe_0p5nm,0.500000,0.510000,-2.136223525,-1.136223525,-2.205530455,0.069306931,0.000000000
probe_0p5nm,0.500000,0.530000,-1.215011109,-0.215011109,-1.284318040,0.069306931,0.000000000
probe_0p5nm,0.500000,0.550000,-0.711068297,0.288931703,-0.800177208,0.089108911,0.000000000
probe_0p5nm,0.500000,0.570000,-0.445648535,0.554351465,-0.544658436,0.099009901,0.000000000
probe_0p5nm,0.500000,0.590000,-0.402497208,0.597502792,-0.531210079,0.128712871,0.000000000
probe_0p5nm,0.500000,0.610000,-0.321807069,0.678192931,-0.450519941,0.128712871,0.000000000
probe_0p5nm,0.500000,0.630000,-0.597498376,0.402501624,-0.726211248,0.128712871,0.000000000
probe_0p5nm,0.500000,0.650000,-1.266739386,-0.266739386,-1.405353248,0.138613861,0.000000000
probe_0p5nm,0.500000,0.670000,-1.771052752,-0.771052752,-1.909666614,0.138613861,0.000000000
probe_0p5nm,0.500000,0.690000,-1.156346277,-0.156346277,-1.324663109,0.168316832,0.000000000
probe_0p5nm,0.500000,0.710000,-0.631860376,0.368139624,-0.800177208,0.168316832,0.000000000
probe_0p5nm,0.500000,0.730000,-1.052306792,-0.052306792,-1.230524614,0.178217822,0.000000000
probe_0p5nm,0.500000,0.750000,-0.763167129,0.236832871,-0.941384950,0.178217822,0.000000000
probe_0p5nm,0.500000,0.770000,-1.080315168,-0.080315168,-1.317938931,0.237623762,0.000000000
probe_0p5nm,0.500000,0.790000,-1.191449386,-0.191449386,-1.438974139,0.247524752,0.000000000
probe_0p5nm,0.500000,0.810000,-1.339381307,-0.339381307,-1.586906059,0.247524752,0.000000000
probe_0p5nm,0.500000,0.830000,-1.023715485,-0.023715485,-1.291042218,0.267326733,0.000000000
probe_0p5nm,0.500000,0.850000,-0.458884515,0.541115485,-0.726211248,0.267326733,0.000000000
probe_0p5nm,0.500000,0.870000,-0.754748356,0.245251644,-1.022075089,0.267326733,0.000000000
probe_0p5nm,0.500000,0.890000,-1.316773069,-0.316773069,-1.613802772,0.297029703,0.000000000
probe_0p5nm,0.500000,0.910000,-1.468252356,-0.468252356,-1.775183050,0.306930693,0.000000000
probe_0p5nm,0.500000,0.930000,-1.397833762,-0.397833762,-1.714665446,0.316831683,0.000000000
probe_0p5nm,0.500000,0.950000,-0.984482079,0.015517921,-1.311214752,0.326732673,0.000000000
probe_0p5nm,0.500000,0.970000,-0.628100634,0.371899366,-0.954833307,0.326732673,0.000000000
probe_0p5nm,0.500000,0.990000,-1.183030614,-0.183030614,-1.519664277,0.336633663,0.000000000
probe_0p5nm,0.500000,1.010000,-1.206750515,-0.206750515,-1.553285168,0.346534653,0.000000000
probe_0p5nm,0.500000,1.030000,-1.126060376,-0.126060376,-1.472595030,0.346534653,0.000000000
