branch,target_nm,radius_nm,delta_environment_charge_e,delta_water_charge_e,delta_ion_charge_e,delta_ligand_charge_e
probe_0p5nm,0.5,0.01,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.03,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.05,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.07,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.09,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.11,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.13,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.15,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.17,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.19,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.21,0.0,0.0,0.0,0.0
probe_0p5nm,0.5,0.23,-0.1075868510000001,-0.1075868510000001,0.0,0.0
probe_0p5nm,0.5,0.25,0.1950011680000001,0.1950011680000001,0.0,0.0
probe_0p5nm,0.5,0.27,0.11431102900000045,0.11431102900000045,0.0,0.0
probe_0p5nm,0.5,0.29,0.006724178999999886,0.006724178999999886,0.0,0.0
probe_0p5nm,0.5,0.31,-0.023719900999999988,-0.033620890999999986,0.00990099,0.0
probe_0p5nm,0.5,0.33,-0.161750832,-0.181552812,0.01980198,0.0
probe_0p5nm,0.5,0.35,-0.30295857400000004,-0.32276055400000003,0.01980198,0.0
probe_0p5nm,0.5,0.37,-0.05453453500000005,-0.09413849500000004,0.03960396,0.0
probe_0p5nm,0.5,0.39,-0.20246645600000002,-0.242070416,0.03960396,0.0
probe_0p5nm,0.5,0.41,-0.168845565,-0.208449525,0.03960396,0.0
probe_0p5nm,0.5,0.43,0.056229127999999906,0.006724177999999914,0.04950495,0.0
probe_0p5nm,0.5,0.45,0.5739908510000002,0.524485901,0.049504951,0.0
probe_0p5nm,0.5,0.47,0.2544071090000002,0.1950011680000001,0.059405941,0.0
probe_0p5nm,0.5,0.49,-0.25700099099999996,-0.33620891099999994,0.079207921,0.0
probe_0p5nm,0.5,0.51,-0.11616380199999998,-0.21517370299999983,0.099009901,0.0
probe_0p5nm,0.5,0.53,0.15598013899999996,0.047069247000000036,0.10891089100000001,0.0
probe_0p5nm,0.5,0.55,-0.22449176199999998,-0.363105624,0.138613861,0.0
probe_0p5nm,0.5,0.57,-0.521467268,-0.71948707,0.198019802,0.0
probe_0p5nm,0.5,0.59,-0.25678861399999997,-0.504313366,0.24752475200000001,0.0
probe_0p5nm,0.5,0.61,0.20755023800000005,-0.02017253499999999,0.22772277200000002,0.0
probe_0p5nm,0.5,0.63,0.25107211900000004,0.01344835599999994,0.23762376200000002,0.0
probe_0p5nm,0.5,0.65,0.032721604000000015,-0.19500116899999997,0.22772277200000002,0.0
probe_0p5nm,0.5,0.67,-0.0008992869999999709,-0.22862205999999996,0.22772277200000002,0.0
probe_0p5nm,0.5,0.69,0.4623279010000001,0.1950011679999999,0.267326733,0.0
probe_0p5nm,0.5,0.71,0.334197961,0.047069246999999925,0.287128713,0.0
probe_0p5nm,0.5,0.73,-0.23063301000000003,-0.5177617229999999,0.287128713,0.0
probe_0p5nm,0.5,0.75,-0.153119683,-0.430347405,0.277227723,0.0
probe_0p5nm,0.5,0.77,0.04712344599999985,-0.309312198,0.35643564299999997,0.0
probe_0p5nm,0.5,0.79,-0.289085465,-0.6455211089999999,0.35643564299999997,0.0
probe_0p5nm,0.5,0.81,-0.21549005899999996,-0.5917276829999999,0.37623762299999997,0.0
probe_0p5nm,0.5,0.83,-0.5524400790000001,-0.968281664,0.415841584,0.0
probe_0p5nm,0.5,0.85,0.14650390100000005,-0.289139664,0.435643565,0.0
probe_0p5nm,0.5,0.87,0.720494753,0.23534623799999999,0.485148515,0.0
probe_0p5nm,0.5,0.89,0.28511776300000014,-0.28913966300000005,0.574257426,0.0
probe_0p5nm,0.5,0.91,0.31164392099999993,-0.2824154860000001,0.594059406,0.0
probe_0p5nm,0.5,0.93,-0.4382872270000001,-1.0422476239999998,0.603960396,0.0
probe_0p5nm,0.5,0.95,-0.1633370289999999,-0.8069013859999999,0.643564356,0.0
probe_0p5nm,0.5,0.97,0.09498799999999996,-0.578279327,0.6732673259999999,0.0
probe_0p5nm,0.5,0.99,-0.38316976299999994,-1.0960410489999999,0.712871287,0.0
probe_0p5nm,0.5,1.01,-0.42070857399999995,-1.163282831,0.742574257,0.0
probe_0p5nm,0.5,1.03,-0.1485646330000001,-0.9010398809999999,0.752475247,0.0
probe_0p5nm,0.5,1.05,-0.616080297,-1.378456535,0.762376238,0.0
probe_0p5nm,0.5,1.07,-0.35738471299999996,-1.129661941,0.772277227,0.0
probe_0p5nm,0.5,1.09,0.827348331,0.033620890999999986,0.792079207,0.001648232
probe_0p5nm,0.5,1.11,1.282322761,0.45724411900000006,0.8217821780000001,0.003296464
probe_0p5nm,0.5,1.13,0.648149061,-0.20844952500000002,0.8514851489999999,0.005113437
probe_0p5nm,0.5,1.15,-0.13168981599999996,-1.0086267329999998,0.8712871280000001,0.005649788
probe_0p5nm,0.5,1.17,-0.33207296100000006,-1.250697149,0.9108910889999999,0.007733098
probe_0p5nm,0.5,1.19,-0.21045242199999992,-1.163282832,0.94059406,0.012236351
probe_0p5nm,0.5,1.21,-0.1038637899999999,-1.008626732,0.8910891089999999,0.013673833
probe_0p5nm,0.5,1.23,0.23866835899999994,-0.7060387129999999,0.9207920789999999,0.023914993
probe_0p5nm,0.5,1.25,-0.40596097100000006,-1.338111465,0.9207920789999999,0.011358416
probe_0p5nm,0.5,1.27,-0.927915055,-1.8558731880000001,0.92079208,0.007166054
probe_0p5nm,0.5,1.29,-0.45907521399999995,-1.371732356,0.91089109,0.001766054
probe_0p5nm,0.5,1.31,0.33512037400000005,-0.5648309699999999,0.9009900989999999,-0.001038755
probe_0p5nm,0.5,1.33,-0.3133352480000001,-1.210352079,0.9009900989999999,-0.003973267
probe_0p5nm,0.5,1.35,-0.05924988100000017,-0.934660772,0.8712871289999999,0.004123762
probe_0p5nm,0.5,1.37,0.3260248179999998,-0.611900218,0.9207920789999999,0.017132956
probe_0p5nm,0.5,1.39,0.550442552,-0.4303474059999999,0.95049505,0.030294908
probe_0p5nm,0.5,1.41,0.26130633400000014,-0.7598321379999999,0.99009901,0.031039462
probe_0p5nm,0.5,1.43,0.7288608940000001,-0.282415485,0.98019802,0.031078359
probe_0p5nm,0.5,1.45,-0.6384183059999999,-1.633975307,0.96039604,0.035160962
probe_0p5nm,0.5,1.47,0.05951272099999999,-1.001902554,1.0297029709999999,0.031712305
probe_0p5nm,0.5,1.49,-0.689463763,-1.815528119,1.0891089109999998,0.036955445
probe_0p5nm,0.5,1.51,-0.3535630730000001,-1.4658708520000001,1.0891089109999998,0.023198868
probe_0p5nm,0.5,1.53,-0.834619927,-2.030701821,1.158415841,0.037666053
probe_0p5nm,0.5,1.55,-0.605285904,-1.755010515,1.1089108909999998,0.04081372
probe_0p5nm,0.5,1.57,-0.793577746,-1.9432875049999998,1.118811881,0.030897878
probe_0p5nm,0.5,1.59,0.41322748100000006,-0.706038713,1.089108911,0.030157284
