stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
pull,1.000,1.000,2.049236,2.105190,2.064155,0.782692,299.528
pull,10.000,10.000,2.021294,2.037290,1.984318,0.063962,299.300
pull,20.000,20.000,1.990247,1.978244,1.944744,0.036019,301.428
pull,30.000,30.000,1.959201,2.066293,2.026266,2.867207,299.925
pull,40.000,40.000,1.928154,1.912672,1.867606,0.059920,300.139
pull,50.000,50.000,1.897107,2.055025,2.017160,6.234494,300.818
pull,60.000,60.000,1.866060,1.977946,1.936532,3.129601,301.703
pull,70.000,70.000,1.835013,1.855255,1.811709,0.102428,298.078
pull,80.000,80.000,1.803967,1.895104,1.849345,2.076518,301.652
pull,90.000,90.000,1.772920,1.837089,1.806532,1.029424,297.949
pull,100.000,100.000,1.741873,1.800041,1.754662,0.845877,300.035
pull,110.000,110.000,1.710826,1.695893,1.647558,0.055747,301.277
pull,120.000,120.000,1.679779,1.731411,1.687011,0.666449,300.036
pull,130.000,130.000,1.648732,1.626386,1.585876,0.124845,299.913
pull,140.000,140.000,1.617686,1.683906,1.637404,1.096285,299.595
pull,150.000,150.000,1.586639,1.446715,1.410711,4.894643,298.528
pull,160.000,160.000,1.555592,1.599590,1.557617,0.483959,300.599
pull,170.000,170.000,1.524545,1.576303,1.532620,0.669705,300.581
pull,180.000,180.000,1.493498,1.415128,1.380530,1.535496,299.831
pull,190.000,190.000,1.462451,1.445206,1.411148,0.074350,300.625
pull,200.000,200.000,1.431405,1.449351,1.408618,0.080520,300.276
pull,210.000,210.000,1.400358,1.365926,1.325584,0.296394,301.308
pull,220.000,220.000,1.369311,1.399230,1.362642,0.223780,299.799
pull,230.000,230.000,1.338264,1.403910,1.365123,1.077335,300.608
pull,240.000,240.000,1.307217,1.376379,1.339172,1.195825,298.685
pull,250.000,250.000,1.276171,1.293512,1.251313,0.075177,300.057
pull,260.000,260.000,1.245124,1.270630,1.233984,0.162641,300.231
pull,270.000,270.000,1.214077,1.250450,1.208463,0.330760,302.382
pull,280.000,280.000,1.183030,1.252417,1.206888,1.203621,300.566
pull,290.000,290.000,1.151983,1.167628,1.127680,0.061192,298.134
pull,300.000,300.000,1.120936,1.204533,1.157088,1.747102,301.408
pull,310.000,310.000,1.089890,0.978526,0.939878,3.100479,300.463
pull,320.000,320.000,1.058843,1.087990,1.045326,0.212391,300.735
pull,330.000,330.000,1.027796,1.059857,1.025498,0.256979,301.911
pull,340.000,340.000,0.996749,0.979312,0.943432,0.076018,299.749
pull,350.000,350.000,0.965702,0.842131,0.800317,3.817472,300.566
pull,360.000,360.000,0.934656,0.960031,0.920940,0.160983,299.934
pull,370.000,370.000,0.903609,0.955075,0.906086,0.662199,299.977
pull,380.000,380.000,0.872562,0.833951,0.786215,0.372707,299.823
pull,390.000,390.000,0.841515,0.834872,0.787522,0.011034,300.044
pull,400.000,400.000,0.810468,0.823131,0.783818,0.040089,300.695
pull,410.000,410.000,0.779421,0.769123,0.724614,0.026516,300.684
pull,420.000,420.000,0.748375,0.863805,0.817084,3.331055,299.561
pull,430.000,430.000,0.717328,0.735042,0.698759,0.078451,301.538
pull,440.000,440.000,0.686281,0.778847,0.730018,2.142125,300.079
pull,450.000,450.000,0.655234,0.616041,0.575238,0.384030,299.861
pull,460.000,460.000,0.624187,0.608251,0.564802,0.063490,301.193
pull,470.000,470.000,0.593140,0.610544,0.566026,0.075717,299.593
pull,480.000,480.000,0.562094,0.652056,0.606442,2.023320,301.349
pull,490.000,490.000,0.531047,0.511323,0.474146,0.097260,301.087
pull,500.000,500.000,0.500000,0.464012,0.421216,0.323776,298.740
settle,10.000,510.000,0.500000,0.532087,0.498489,0.257397,301.467
settle,20.000,520.000,0.500000,0.597806,0.551538,2.391514,299.950
settle,30.000,530.000,0.500000,0.537435,0.489061,0.350338,297.903
settle,40.000,540.000,0.500000,0.579665,0.533053,1.586619,299.004
settle,50.000,550.000,0.500000,0.497454,0.464889,0.001620,300.365
settle,60.000,560.000,0.500000,0.571889,0.529769,1.291996,301.749
settle,70.000,570.000,0.500000,0.483289,0.443499,0.069813,299.377
settle,80.000,580.000,0.500000,0.485987,0.437936,0.049089,298.906
settle,90.000,590.000,0.500000,0.532425,0.494876,0.262840,301.590
settle,100.000,600.000,0.500000,0.460056,0.411488,0.398878,300.575
settle,110.000,610.000,0.500000,0.540919,0.505147,0.418592,299.890
settle,120.000,620.000,0.500000,0.483286,0.443416,0.069836,300.237
settle,130.000,630.000,0.500000,0.530750,0.490678,0.236393,300.165
settle,140.000,640.000,0.500000,0.620162,0.575131,3.609727,300.565
settle,150.000,650.000,0.500000,0.627328,0.586585,4.053115,299.066
settle,160.000,660.000,0.500000,0.439724,0.402657,0.908307,299.773
