distance_A,full_ligand_graphene_kJ_mol,pyrene_aromatic_graphene_kJ_mol
2.50000000,984.89641785,588.90859022
2.55000000,712.60863254,437.53957667
2.60000000,502.43037702,319.12796257
2.65000000,340.02959659,226.45534295
2.70000000,214.55241835,153.94926708
2.75000000,117.72729998,97.28968624
2.80000000,43.21418862,53.11362824
2.85000000,-13.87270330,18.79381402
2.90000000,-57.31611118,-7.72986555
2.95000000,-90.05839411,-28.07823000
3.00000000,-114.39646921,-43.53018345
3.05000000,-132.13059653,-55.09775391
3.10000000,-144.67587542,-63.58387291
3.15000000,-153.14806012,-69.62711647
3.20000000,-158.42876004,-73.73628238
3.25000000,-161.21653231,-76.31761456
3.30000000,-162.06510054,-77.69589883
3.35000000,-161.41489912,-78.13114867
3.40000000,-159.61578579,-77.83168945
3.45000000,-156.94640746,-76.96452268
3.50000000,-153.62787993,-75.66357179
3.55000000,-149.83635956,-74.03616493
3.60000000,-145.71173488,-72.16826748
3.65000000,-141.36468215,-70.12862458
3.70000000,-136.88243305,-67.97210039
3.75000000,-132.33424837,-65.74237636
3.80000000,-127.77361472,-63.47405525
3.85000000,-123.24238072,-61.19442573
3.90000000,-118.77263947,-58.92488465
3.95000000,-114.38889159,-56.68196052
4.00000000,-110.10920132,-54.47844713
4.05000000,-105.94675064,-52.32387949
4.10000000,-101.91071095,-50.22538314
4.15000000,-98.00705777,-48.18797963
4.20000000,-94.23941612,-46.21509880
4.25000000,-90.60923319,-44.30886530
4.30000000,-87.11642435,-42.47036987
4.35000000,-83.75970948,-40.69989181
4.40000000,-80.53689452,-38.99704293
4.45000000,-77.44515038,-37.36092324
4.50000000,-74.48092649,-35.79030388
4.55000000,-71.64054087,-34.28361572
4.60000000,-68.91994152,-32.83910568
4.65000000,-66.31468807,-31.45484676
4.70000000,-63.82063845,-30.12877852
4.75000000,-61.43346367,-28.85888710
4.80000000,-59.14870746,-27.64299020
4.85000000,-56.96213896,-26.47902073
4.90000000,-54.86960908,-25.36484352
4.95000000,-52.86687983,-24.29836449
5.00000000,-50.95009641,-23.27760476
5.05000000,-49.11547538,-22.30055233
5.10000000,-47.35908262,-21.36526579
5.15000000,-45.67747048,-20.46989990
5.20000000,-44.06718445,-19.61267083
5.25000000,-42.52486787,-18.79182657
5.30000000,-41.04749278,-18.00571957
5.35000000,-39.63189364,-17.25274332
5.40000000,-38.27540803,-16.53139027
5.45000000,-36.97497389,-15.84021118
5.50000000,-35.72825792,-15.17779064
5.55000000,-34.53258327,-14.54281234
5.60000000,-33.38565057,-13.93397750
5.65000000,-32.28519475,-13.35013399
5.70000000,-31.22915307,-12.79009804
5.75000000,-30.21532287,-12.25278344
5.80000000,-29.24184481,-11.73713885
5.85000000,-28.30687174,-11.24218743
5.90000000,-27.40861711,-10.76695144
5.95000000,-26.54551937,-10.31058491
6.00000000,-25.71580850,-9.87218973
6.05000000,-24.91812411,-9.45098551
6.10000000,-24.15108220,-9.04618609
6.15000000,-23.41304674,-8.65705643
6.20000000,-22.70300664,-8.28287730
6.25000000,-22.01960863,-7.92302754
6.30000000,-21.36163032,-7.57685648
6.35000000,-20.72815957,-7.24377112
6.40000000,-20.11785183,-6.92318119
6.45000000,-19.53000651,-6.61456870
6.50000000,-18.96340266,-6.31739599
6.55000000,-18.41728966,-6.03116872
6.60000000,-17.89071680,-5.75545548
6.65000000,-17.38293415,-5.48976817
6.70000000,-16.89310544,-5.23370606
6.75000000,-16.42044091,-4.98684809
6.80000000,-15.96430909,-4.74884216
6.85000000,-15.52394477,-4.51927848
6.90000000,-15.09874580,-4.29782617
6.95000000,-14.68814924,-4.08417172
7.00000000,-14.29148611,-3.87796635
7.05000000,-13.90825398,-3.67893893
7.10000000,-13.53783173,-3.48677174
7.15000000,-13.17980299,-3.30121759
7.20000000,-12.83361332,-3.12198044
7.25000000,-12.49879007,-2.94883211
7.30000000,-12.17498217,-2.78153824
7.35000000,-11.86163201,-2.61986089
7.40000000,-11.55845410,-2.46357025
7.45000000,-11.26501652,-2.31247935
7.50000000,-10.98089703,-2.16638232
7.55000000,-10.70571597,-2.02507294
7.60000000,-10.43930926,-1.88840626
7.65000000,-10.18118243,-1.75615241
7.70000000,-9.93107819,-1.62819528
7.75000000,-9.68873871,-1.50434365
7.80000000,-9.45389114,-1.38447959
7.85000000,-9.22609532,-1.26842133
7.90000000,-9.00526855,-1.15604611
7.95000000,-8.79112407,-1.04722602
8.00000000,-8.58336865,-0.94183108
