time_ps,time_ns,x_relative_nm,y_relative_nm,net_displacement_nm,pyrene_step_nm,graphene_collective_step_nm
502.000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
504.000,0.002000,-0.01175751,-0.07672634,0.07762197,0.07762197,0.02750517
506.000,0.004000,0.02908607,-0.01569013,0.03304814,0.07344125,0.03275366
508.000,0.006000,0.04130263,0.11888895,0.12585900,0.13513243,0.01535401
510.000,0.008000,0.04097692,0.01652935,0.04418515,0.10236012,0.00116339
512.000,0.010000,-0.00962427,-0.00381532,0.01035293,0.05453793,0.01273384
514.000,0.012000,0.06580894,0.05309044,0.08455419,0.09449039,0.01686851
516.000,0.014000,0.13246135,0.05235893,0.14243408,0.06665642,0.04586516
518.000,0.016000,0.07868678,0.04645269,0.09137539,0.05409795,0.00270404
520.000,0.018000,-0.00960789,0.09779981,0.09827062,0.10213949,0.01462395
522.000,0.020000,0.04666176,0.13524637,0.14306957,0.06759081,0.04232928
524.000,0.022000,0.05132658,0.14286545,0.15180565,0.00893369,0.03621702
526.000,0.024000,0.05159797,0.16681489,0.17461259,0.02395097,0.02392014
528.000,0.026000,0.10539035,0.13001273,0.16736319,0.06517683,0.02511476
530.000,0.028000,0.08825025,0.16910522,0.19074769,0.04268495,0.00728304
532.000,0.030000,0.03199705,0.14108214,0.14466507,0.06284676,0.04891841
534.000,0.032000,0.01541019,0.13876106,0.13961413,0.01674847,0.03871279
536.000,0.034000,0.03195977,0.02686472,0.04175093,0.11311357,0.02561766
538.000,0.036000,0.00700223,0.09701376,0.09726613,0.07445647,0.02405725
540.000,0.038000,-0.00663995,0.13769151,0.13785152,0.04290441,0.00806463
542.000,0.040000,0.07040766,0.07437494,0.10241519,0.09972624,0.01994790
544.000,0.042000,0.10931690,0.05773733,0.12362760,0.04231712,0.03511886
546.000,0.044000,0.14408813,0.01539512,0.14490824,0.05478961,0.02096902
548.000,0.046000,0.24228405,0.07877934,0.25476999,0.11687600,0.03795492
550.000,0.048000,0.19216081,0.10937408,0.22110737,0.05872289,0.01189388
552.000,0.050000,0.17419639,0.08084160,0.19204100,0.03371681,0.03113592
554.000,0.052000,0.15973036,0.15748279,0.22430920,0.07799447,0.01461354
556.000,0.054000,0.13583753,0.26714885,0.29970042,0.11223864,0.02441102
558.000,0.056000,0.12271800,0.28658727,0.31175627,0.02345153,0.00810570
560.000,0.058000,0.13272977,0.30260860,0.33043782,0.01889228,0.03438997
562.000,0.060000,0.08982580,0.31609245,0.32860784,0.04497293,0.01682141
564.000,0.062000,0.11373545,0.28609980,0.30787797,0.03835663,0.03220086
566.000,0.064000,0.11849026,0.25798018,0.28389032,0.02851879,0.01185951
568.000,0.066000,0.15479663,0.23404662,0.28060616,0.04348525,0.00064311
570.000,0.068000,0.31291408,0.37152423,0.48574219,0.20952618,0.04176213
572.000,0.070000,0.33755948,0.30901445,0.45764214,0.06719277,0.02281197
574.000,0.072000,0.33632217,0.35085562,0.48601673,0.04185946,0.02452504
576.000,0.074000,0.22438378,0.34849817,0.41448650,0.11196321,0.01058134
578.000,0.076000,0.21472494,0.27979822,0.35269512,0.06937561,0.03857485
580.000,0.078000,0.27568618,0.22957466,0.35875813,0.07898530,0.02978172
582.000,0.080000,0.23807236,0.20304609,0.31289961,0.04602786,0.02762163
584.000,0.082000,0.26496972,0.18021706,0.32044834,0.03527935,0.02383015
586.000,0.084000,0.22559111,0.21153746,0.30925628,0.05031544,0.00035156
588.000,0.086000,0.31686047,0.13717113,0.34527739,0.11773040,0.00524388
590.000,0.088000,0.28128608,0.21941302,0.35674071,0.08960617,0.00962321
592.000,0.090000,0.29214270,0.13315817,0.32105834,0.08693541,0.01588475
594.000,0.092000,0.30152696,0.21951940,0.37297088,0.08686960,0.01723128
596.000,0.094000,0.32403555,0.14231331,0.35390976,0.08042025,0.02430857
598.000,0.096000,0.21617005,0.15910070,0.26840739,0.10916402,0.01886052
600.000,0.098000,0.13317727,0.20829484,0.24723051,0.09647728,0.03137995
