distance_A,pyrene_LJ_kJmol,pyrene_Coulomb_kJmol,pyrene_total_kJmol,full_LJ_kJmol,full_Coulomb_kJmol,full_total_kJmol,delta_pyrene_total_vs_20A_kJmol,delta_full_total_vs_20A_kJmol
2.5,561.1059135379401,5.529245376586914,566.635158914527,1526.560828893333,-0.279205322265625,1526.2816235710675,563.378945754308,1526.3449003124827
2.75,85.3489300742076,5.665546417236328,91.01447649144393,289.81135084147854,-0.054595947265625,289.7567548942129,87.75826333122495,289.8200316356281
3.0,-52.27136186801363,5.7230224609375,-46.54833940707613,-34.996352703607954,0.022186279296875,-34.97416642431108,-49.804552567295104,-34.91088968289591
3.25,-83.86651392302883,5.740985870361328,-78.1255280526675,-112.03825717078098,0.05023193359375,-111.98802523718723,-81.38174121288648,-111.92474849577206
3.5,-82.36091969674453,5.740461349487305,-76.62045834725723,-118.0853696969939,0.063995361328125,-118.02137433566577,-79.8766715074762,-117.9580975942506
3.75,-71.72800334401836,5.730504989624023,-65.99749835439434,-104.87002181469393,0.0712432861328125,-104.79877852856112,-69.25371151461331,-104.73550178714595
4.0,-59.88220298629312,5.715641021728516,-54.16656196456461,-88.24255947170559,0.0746002197265625,-88.16795925197903,-57.422775124783584,-88.10468251056386
4.25,-49.252846026822226,5.696697235107422,-43.556148791714804,-72.9162742497615,0.078369140625,-72.8379051091365,-46.81236195193378,-72.77462836772133
4.5,-40.378517886507325,5.676357269287109,-34.702160617220215,-60.00711389633943,0.0828857421875,-59.92422815415193,-37.95837377743919,-59.86095141273677
4.75,-33.17439355094393,5.653974533081055,-27.520419017862878,-49.48717194301389,0.084197998046875,-49.402973944967016,-30.776632178081854,-49.33969720355185
5.0,-27.384519024868496,5.630706787109375,-21.75381223775912,-41.011793890059835,0.0883026123046875,-40.92349127775515,-25.010025397978097,-40.86021453633998
5.25,-22.73859073143103,5.606815338134766,-17.131775393296266,-34.196071617593816,0.091400146484375,-34.10467147110944,-20.387988553515243,-34.041394729694275
5.5,-19.000808061435237,5.581459045410156,-13.41934901602508,-28.69985283877827,0.0928192138671875,-28.607033624911082,-16.675562176244057,-28.543756883495917
5.75,-15.979316139331786,5.554845809936523,-10.424470329395263,-24.245408748054615,0.097412109375,-24.147996638679615,-13.680683489614239,-24.08471989726445
6.0,-13.52263176899578,5.527353286743164,-7.9952784822526155,-20.613290832317944,0.0995635986328125,-20.51372723368513,-11.251491642471592,-20.450450492269965
6.25,-11.51268449203053,5.499408721923828,-6.013275770106702,-17.632447014856098,0.10162353515625,-17.530823479699848,-9.269488930325679,-17.467546738284682
6.5,-9.857744584216562,5.470308303833008,-4.387436280383554,-15.169980170202507,0.103790283203125,-15.066189886999382,-7.64364944060253,-15.002913145584216
6.75,-8.486537299468182,5.440298080444336,-3.046239219023846,-13.122602055876087,0.10595703125,-13.016645024626087,-6.302452379242823,-12.95336828321092
7.0,-7.343475295041571,5.409326553344727,-1.9341487416968448,-11.409707177423115,0.107940673828125,-11.30176650359499,-5.190361901915821,-11.238489762179825
7.25,-6.384999810921727,5.3777008056640625,-1.0072990052576642,-9.96807895123743,0.11114501953125,-9.85693393170618,-4.263512165476641,-9.793657190291015
7.5,-5.576806234290416,5.345376968383789,-0.23142926590662682,-8.747867064432285,0.1124725341796875,-8.635394530252597,-3.4876424261256034,-8.572117788837431
7.75,-4.891691751152393,5.312177658081055,0.4204859069286613,-7.709487178611653,0.11407470703125,-7.595412471580403,-2.8357272532903153,-7.532135730165237
8.0,-4.30797617395001,5.278451919555664,0.9704757456056541,-6.8213374705542265,0.1168060302734375,-6.704531440280789,-2.2857374146133225,-6.641254698865623
10.0,-1.7569054197738296,4.986856460571289,3.2299510407974594,-2.8815008196500003,0.1282501220703125,-2.7532506975796878,-0.026262119421517127,-2.689973956164522
12.0,-0.8395824843246373,4.667306900024414,3.8277244156997767,-1.4198976106001737,0.1333465576171875,-1.2865510529829862,0.5715112554808002,-1.2232743115678204
15.0,-0.3364606590330368,4.166141510009766,3.829680850976729,-0.5911678281131572,0.13555908203125,-0.45560874608190716,0.5734676907577523,-0.39233200466674134
20.0,-0.10046103411696095,3.3566741943359375,3.2562131602189766,-0.18519446602454082,0.121917724609375,-0.06327674141516582,0.0,0.0
