time_ps,lateral_displacement_nm,lateral_x_nm,lateral_y_nm,path_length_nm,step_displacement_nm
502.000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
504.000,0.07477013,-0.01404155,-0.07343982,0.07477013,0.07477013
506.000,0.03020185,0.02601843,-0.01533601,0.14534530,0.07057517
508.000,0.12747327,0.03663961,0.12209412,0.28318525,0.13783995
510.000,0.04362808,0.03535821,0.02555790,0.37972997,0.09654472
512.000,0.01373303,-0.01363397,-0.00164653,0.43576849,0.05603851
514.000,0.08841490,0.06543465,0.05946008,0.53569778,0.09992929
516.000,0.14012737,0.13110868,0.04945899,0.60212895,0.06643117
518.000,0.09054425,0.07643926,0.04853144,0.65680624,0.05467729
520.000,0.09913287,-0.00801970,0.09880794,0.75509685,0.09829060
522.000,0.14250178,0.04224085,0.13609728,0.81767972,0.06258288
524.000,0.15056683,0.04541992,0.14355278,0.82578472,0.00810500
526.000,0.17390088,0.04355090,0.16835924,0.85066150,0.02487677
528.000,0.17022144,0.10309105,0.13545321,0.91868970,0.06802821
530.000,0.19298518,0.08313270,0.17416152,0.96224046,0.04355076
532.000,0.15055944,0.02568100,0.14835306,1.02522279,0.06298233
534.000,0.14143833,0.01054997,0.14104432,1.04202653,0.01680374
536.000,0.04324014,0.02768710,0.03321346,1.15121067,0.10918413
538.000,0.10356555,-0.00022766,0.10356530,1.22689828,0.07568762
540.000,0.14447294,-0.01378087,0.14381418,1.26936783,0.04246954
542.000,0.10161675,0.06313089,0.07962697,1.36954476,0.10017693
544.000,0.11735746,0.10344926,0.05541682,1.41657349,0.04702873
546.000,0.14061648,0.13969988,0.01602929,1.47010372,0.05353023
548.000,0.24809281,0.23362830,0.08347371,1.58573805,0.11563433
550.000,0.21630275,0.18384894,0.11395810,1.64410999,0.05837194
552.000,0.19051483,0.17037442,0.08525525,1.67581828,0.03170829
554.000,0.22437731,0.15826984,0.15904665,1.75059589,0.07477761
556.000,0.29957245,0.13044505,0.26968081,1.86467541,0.11407952
558.000,0.31349578,0.12295647,0.28837702,1.88481560,0.02014019
560.000,0.33050950,0.13041894,0.30368969,1.90184987,0.01703427
562.000,0.32994351,0.08181009,0.31964016,1.95300882,0.05115895
564.000,0.31184641,0.10956650,0.29196466,1.99220513,0.03919632
566.000,0.28525927,0.11525730,0.26093793,2.02374944,0.03154431
568.000,0.28144879,0.15470592,0.23511592,2.07089782,0.04714838
570.000,0.48783751,0.31059496,0.37618639,2.28114118,0.21024336
572.000,0.46000565,0.33743376,0.31263982,2.35012297,0.06898180
574.000,0.48502762,0.33229459,0.35331587,2.39112239,0.04099941
576.000,0.41334557,0.22030347,0.34974411,2.50317045,0.11204806
578.000,0.35729278,0.21095734,0.28836632,2.56525574,0.06208529
580.000,0.35814549,0.27194347,0.23305566,2.64758784,0.08233211
582.000,0.31678161,0.23636714,0.21090559,2.68949609,0.04190825
584.000,0.32168225,0.26061948,0.18856552,2.72246964,0.03297355
586.000,0.30756994,0.21885993,0.21610091,2.77249021,0.05002057
588.000,0.33840719,0.30761370,0.14104338,2.88872646,0.11623625
590.000,0.35255800,0.27547355,0.22002605,2.97399810,0.08527164
592.000,0.32159159,0.29113792,0.13660113,3.05888090,0.08488280
594.000,0.37010468,0.29565247,0.22263668,3.14503482,0.08615391
596.000,0.35330775,0.32056176,0.14854804,3.22319874,0.07816392
598.000,0.27071530,0.21398272,0.16582572,3.33116915,0.10797041
600.000,0.24577625,0.12971656,0.20875722,3.42574134,0.09457219
602.000,0.25467429,0.07964299,0.24190078,3.48579013,0.06004879
604.000,0.46769541,0.03680289,0.46624515,3.71418819,0.22839806
606.000,0.52219236,0.21234918,0.47706676,3.89006771,0.17587952
608.000,0.60766991,0.22140514,0.56589971,3.97936107,0.08929336
610.000,0.59878464,0.16747521,0.57488704,4.03403474,0.05467367
612.000,0.62871775,0.31693240,0.54299159,4.18685742,0.15282268
614.000,0.74441958,0.35308700,0.65535493,4.30489417,0.11803675
616.000,0.81048521,0.46996505,0.66031744,4.42187752,0.11698335
618.000,0.71024097,0.42603894,0.56827199,4.52386707,0.10198955
620.000,0.69458987,0.42995358,0.54552269,4.54695073,0.02308366
622.000,0.71498914,0.50034636,0.51074748,4.62546479,0.07851406
624.000,0.62884057,0.41927231,0.46866961,4.71680782,0.09134303
626.000,0.64333292,0.40215423,0.50214462,4.75440577,0.03759795
628.000,0.61973913,0.49938629,0.36700125,4.92089242,0.16648666
630.000,0.63089057,0.48817415,0.39963598,4.95539950,0.03450707
632.000,0.63469532,0.48740198,0.40654330,4.96234984,0.00695035
634.000,0.59687653,0.46272598,0.37702289,5.00082529,0.03847545
636.000,0.56631699,0.46008987,0.33020031,5.04772201,0.04689672
638.000,0.61881117,0.49050021,0.37727551,5.10376541,0.05604340
640.000,0.65495851,0.42248978,0.50047281,5.24448851,0.14072310
642.000,0.61651303,0.45931812,0.41123617,5.34102610,0.09653758
644.000,0.53941259,0.47161177,0.26181726,5.49094988,0.14992379
646.000,0.53636749,0.43275898,0.31687498,5.55833602,0.06738614
648.000,0.47542686,0.39022633,0.27157707,5.62047237,0.06213635
650.000,0.45130859,0.30705561,0.33075111,5.72254556,0.10207319
652.000,0.36273559,0.24349368,0.26886415,5.81125922,0.08871366
654.000,0.32847585,0.22765722,0.23678803,5.84703172,0.03577249
656.000,0.23298574,0.17682945,0.15170267,5.94614267,0.09911096
658.000,0.21980497,0.18180029,0.12354304,5.97473767,0.02859500
660.000,0.29781142,0.21901549,0.20180154,6.06139426,0.08665659
662.000,0.26827741,0.17150251,0.20629992,6.10911970,0.04772544
664.000,0.31579079,0.20782655,0.23776448,6.15717648,0.04805678
666.000,0.21337840,0.11923113,0.17695842,6.26463124,0.10745476
668.000,0.36689483,0.15284015,0.33354416,6.42478323,0.16015199
670.000,0.33076649,0.26511882,0.19778392,6.60095741,0.17617418
672.000,0.31791919,0.27171301,0.16505954,6.63433957,0.03338216
674.000,0.25207471,0.20534160,0.14620700,6.70333655,0.06899698
676.000,0.26111176,0.25124366,0.07110540,6.79135501,0.08801846
678.000,0.32721721,0.32070429,0.06496049,6.86108692,0.06973191
680.000,0.28666958,0.27126384,0.09271123,6.91778314,0.05669622
682.000,0.40155411,0.33388383,0.22308583,7.06241646,0.14463332
684.000,0.39376682,0.32715357,0.21914117,7.07021753,0.00780107
686.000,0.29772234,0.26474411,0.13619527,7.17402006,0.10380253
688.000,0.39437992,0.31476219,0.23761373,7.28710194,0.11308188
690.000,0.37755489,0.31805554,0.20344131,7.32143269,0.03433075
692.000,0.33220428,0.31817411,0.09552445,7.42934961,0.10791692
694.000,0.29597287,0.21227304,0.20625250,7.58256755,0.15321794
696.000,0.31253376,0.27196471,0.15398879,7.66190600,0.07933846
698.000,0.21924549,0.20329093,0.08210592,7.76132046,0.09941446
700.000,0.12108732,0.11439481,0.03969842,7.85981369,0.09849323
702.000,0.10128477,0.08717087,0.05157367,7.88951495,0.02970126
704.000,0.15282707,0.14874637,0.03508035,7.95326110,0.06374615
706.000,0.11214327,0.09435244,0.06061130,8.01334877,0.06008767
708.000,0.13563962,0.01849182,0.13437321,8.11915829,0.10580952
710.000,0.25075398,-0.04951964,0.24581571,8.24971474,0.13055645
712.000,0.24228470,-0.09458584,0.22305918,8.30020060,0.05048586
714.000,0.22048723,-0.12859160,0.17910562,8.35577314,0.05557254
716.000,0.30417309,-0.14181924,0.26908841,8.44672298,0.09094984
718.000,0.24007624,-0.11404099,0.21126111,8.51087615,0.06415316
720.000,0.33032248,-0.15332094,0.29258440,8.60118889,0.09031275
722.000,0.34156148,-0.03908175,0.33931823,8.72461759,0.12342869
724.000,0.43578082,-0.03607207,0.43428531,8.81963235,0.09501476
726.000,0.45152029,-0.05115132,0.44861355,8.84043337,0.02080102
728.000,0.50399973,0.07145939,0.49890809,8.97295856,0.13252520
730.000,0.67977203,0.02519569,0.67930493,9.15919323,0.18623467
732.000,0.59755277,0.02461177,0.59704571,9.24145453,0.08226130
734.000,0.45606065,0.00532309,0.45602958,9.38378373,0.14232920
736.000,0.45732579,-0.06502528,0.45267935,9.45421182,0.07042810
738.000,0.28949265,-0.02453485,0.28845110,9.62335789,0.16914607
740.000,0.34352810,0.01484621,0.34320714,9.69080485,0.06744696
742.000,0.43107121,0.01020374,0.43095043,9.77867086,0.08786601
744.000,0.29130719,-0.06095709,0.28485806,9.94117269,0.16250183
746.000,0.35060703,-0.08652207,0.33976347,10.00173813,0.06056544
748.000,0.35813977,-0.03236113,0.35667472,10.05847787,0.05673974
750.000,0.27818003,0.00025740,0.27817991,10.14348024,0.08500237
752.000,0.24463034,-0.01333871,0.24426641,10.18001760,0.03653737
754.000,0.16203940,-0.03498457,0.15821772,10.26874709,0.08872949
756.000,0.16086581,-0.03787280,0.15634404,10.27218984,0.00344275
758.000,0.21388728,-0.03894984,0.21031091,10.32616745,0.05397761
760.000,0.13250003,-0.01997269,0.13098607,10.40773070,0.08156324
762.000,0.05477664,0.05442149,-0.00622746,10.56381415,0.15608346
764.000,0.08792049,0.01449234,-0.08671784,10.65366425,0.08985009
766.000,0.08088051,-0.04140013,-0.06948155,10.71215406,0.05848981
768.000,0.06816595,-0.05791535,-0.03595009,10.74953201,0.03737795
770.000,0.14632116,-0.12231941,-0.08029847,10.82772832,0.07819630
772.000,0.19493631,-0.19320394,0.02593071,10.95543602,0.12770770
774.000,0.28382324,-0.25286708,0.12889481,11.07443725,0.11900124
776.000,0.33404397,-0.23934720,0.23301994,11.17943644,0.10499919
778.000,0.31732493,-0.20595742,0.24140558,11.21386312,0.03442668
780.000,0.39404372,-0.29696527,0.25900209,11.30655652,0.09269339
782.000,0.42289985,-0.25477511,0.33754101,11.39571015,0.08915364
784.000,0.44496702,-0.27070484,0.35314946,11.41801217,0.02230202
786.000,0.32872263,-0.19633717,0.26364803,11.53437822,0.11636604
788.000,0.35215827,-0.23168250,0.26521437,11.56975824,0.03538002
790.000,0.38441701,-0.31710116,0.21730921,11.66769317,0.09793493
792.000,0.38748716,-0.25333917,0.29319885,11.76681344,0.09912027
794.000,0.25000573,-0.18909804,0.16353836,11.91151577,0.14470233
796.000,0.18883659,-0.16520087,0.09147640,11.98743679,0.07592101
798.000,0.11211496,-0.11092314,0.01630408,12.08015653,0.09271974
800.000,0.19170392,-0.14784895,0.12202902,12.19214438,0.11198785
802.000,0.18868654,-0.16502521,0.09148383,12.22718768,0.03504329
804.000,0.24798731,-0.22486725,0.10455823,12.28844133,0.06125365
806.000,0.24393113,-0.19238584,0.14996694,12.34427137,0.05583004
808.000,0.26539331,-0.26257021,0.03860686,12.47590311,0.13163174
810.000,0.33456675,-0.33219291,0.03978417,12.54553576,0.06963265
812.000,0.34221045,-0.32167850,0.11675159,12.62321804,0.07768228
814.000,0.36238741,-0.31622337,0.17699554,12.68370847,0.06049043
816.000,0.34569930,-0.26234508,0.22512900,12.75595595,0.07224748
818.000,0.22208607,-0.15913376,0.15491503,12.88078615,0.12483020
820.000,0.17294510,-0.10482273,0.13755800,12.93780329,0.05701714
822.000,0.19526266,-0.16671039,0.10166194,13.00934774,0.07154445
824.000,0.18223214,-0.14178483,0.11447976,13.03737594,0.02802820
826.000,0.26111718,-0.20174109,0.16577910,13.11628333,0.07890739
828.000,0.27174362,-0.20561079,0.17767611,13.12879386,0.01251053
830.000,0.24159084,-0.18001716,0.16112094,13.15927513,0.03048127
832.000,0.28183297,-0.19984321,0.19872724,13.20178755,0.04251242
834.000,0.26282094,-0.23463421,0.11841297,13.28931352,0.08752597
836.000,0.23585624,-0.16957138,0.16393204,13.36871855,0.07940502
838.000,0.17294764,-0.09084042,0.14716965,13.44921415,0.08049561
840.000,0.27579008,-0.20367054,0.18595289,13.56852374,0.11930959
842.000,0.28900507,-0.15547309,0.24362276,13.64368229,0.07515855
844.000,0.22571240,-0.17540331,0.14205550,13.74718650,0.10350421
846.000,0.25059457,-0.24427514,0.05592221,13.85746919,0.11028269
848.000,0.22416816,-0.21172726,0.07364055,13.89452731,0.03705812
850.000,0.23173924,-0.20784914,-0.10247835,14.07068890,0.17616159
852.000,0.19437488,-0.02805874,-0.19233903,14.27168524,0.20099634
854.000,0.16376182,-0.06639400,-0.14969894,14.32902432,0.05733908
