time_ps,pyrene_height_nm,lateral_displacement_nm,lateral_x_nm,lateral_y_nm,path_length_nm,tilt_deg
110.000,0.31069968,0.00000000,0.00000000,0.00000000,0.00000000,7.020935
111.000,0.33324860,0.01703962,0.00592591,0.01597599,0.01703962,1.148929
112.000,0.33061309,0.09410857,0.07851168,-0.05188776,0.11640854,5.685617
113.000,0.32368312,0.08165237,0.05244693,-0.06258137,0.14458166,1.278401
114.000,0.33291202,0.08603896,0.06992903,-0.05012617,0.16604688,7.675651
115.000,0.32609799,0.06176450,0.05097960,-0.03487024,0.19037431,2.957573
116.000,0.33690053,0.18290733,0.18255234,-0.01139015,0.32402572,2.423255
117.000,0.31719785,0.13677253,0.13229511,0.03470920,0.39222352,0.493372
118.000,0.33623258,0.13297328,0.09843459,-0.08940092,0.52086977,8.161351
119.000,0.34940708,0.16759150,0.13663039,-0.09705179,0.55982429,4.001104
120.000,0.32877248,0.09019931,0.08790346,0.02022120,0.68681746,5.634160
121.000,0.34733574,0.10979192,0.10733865,-0.02307987,0.73428018,3.880552
122.000,0.32904892,0.19441391,0.19116995,-0.03536688,0.81900714,2.047557
123.000,0.31378758,0.26924548,0.15770974,-0.21822183,1.00489829,2.381952
124.000,0.33422260,0.29580446,0.06170543,-0.28929694,1.12434911,3.989536
125.000,0.33403137,0.25613919,0.14805908,-0.20901147,1.24225886,1.080646
126.000,0.31740609,0.32535940,-0.00431332,-0.32533081,1.43395533,2.060611
127.000,0.34876189,0.36230610,0.09004217,-0.35093890,1.53172411,1.688991
128.000,0.35328524,0.34284887,0.12634568,-0.31871949,1.58026311,6.523808
129.000,0.34608166,0.28214936,0.15290766,-0.23712341,1.66607372,6.448713
130.000,0.32665375,0.24717600,0.16579742,-0.18332264,1.72139702,5.735759
131.000,0.33313844,0.32921191,0.12663239,-0.30388274,1.84815915,4.626265
132.000,0.33848109,0.33339828,0.11242387,-0.31387146,1.86552741,1.744955
133.000,0.32763894,0.28036061,0.10233147,-0.26101789,1.91933591,3.601251
134.000,0.33132141,0.32170625,0.16113878,-0.27844067,1.98066985,3.743294
135.000,0.32120035,0.30341882,0.16382719,-0.25538918,2.00387758,2.027579
136.000,0.31100849,0.31032672,0.10628481,-0.29155825,2.07184322,1.924883
137.000,0.33226303,0.33058567,0.16070929,-0.28889343,2.12633289,6.306148
138.000,0.33747065,0.36996876,0.26393487,-0.25925907,2.23372803,8.109586
139.000,0.33290336,0.33685453,0.26828424,-0.20370208,2.28945501,4.888682
140.000,0.35687135,0.33569264,0.28899861,-0.17079037,2.32834287,6.911230
141.000,0.35619956,0.32028991,0.27247114,-0.16836004,2.34504807,7.554657
142.000,0.33105263,0.33186615,0.30397733,-0.13316504,2.39228501,2.798483
143.000,0.32632107,0.27237361,0.26231341,-0.07334206,2.46518680,0.931672
144.000,0.32041227,0.26709045,0.23155869,-0.13310854,2.53240202,4.463044
145.000,0.31957825,0.26399753,0.21253355,-0.15660200,2.56263277,4.005506
146.000,0.32237003,0.29069787,0.21365358,-0.19712280,2.60316905,4.715259
147.000,0.33156472,0.20614602,0.12566701,-0.16341354,2.69739193,2.609396
148.000,0.34108323,0.35470162,0.12346594,-0.33251977,2.86651248,2.501863
149.000,0.33294936,0.31796964,0.07755842,-0.30836567,2.91838658,0.773543
150.000,0.33058683,0.28296530,0.14594393,-0.24242469,3.01338548,3.389054
151.000,0.35073367,0.34149377,0.13398450,-0.31411169,3.08606321,7.363912
