lag_frames,lag_ps,lag_ns,n_time_origins,msd_nm2,sd_squared_displacement_nm2,descriptive_sem_nm2
1,2.0,0.002,2499,0.008215210599657035,0.00865592536518662,0.00017315314139576717
2,4.0,0.004,2498,0.014453760194046915,0.014994514366583722,0.00030001031546829214
3,6.0,0.006,2497,0.020615601599064084,0.02177073464692276,0.0004356761771135235
4,8.0,0.008,2496,0.02655899502690076,0.027319894274478965,0.0005468355290403109
5,10.0,0.01,2495,0.03209627990849177,0.03321504722552578,0.0006649662435701069
6,12.0,0.012,2494,0.037715886250155865,0.03900897347947557,0.0007811173735181416
7,14.0,0.014,2493,0.04329115692660679,0.04457167818733085,0.0008926841976807941
8,16.0,0.016,2492,0.04849132170642485,0.050167606348426756,0.0010049613535470293
9,18.0,0.018,2491,0.05374063990722537,0.0550391645401696,0.0011027700666337717
10,20.0,0.02,2490,0.058727262057019,0.06064890047822496,0.001215411267796461
11,22.0,0.022,2489,0.06370793203858541,0.06574917106217974,0.0013178859666901322
12,24.0,0.024,2488,0.06838202579241304,0.07071752971684601,0.001417757304838607
13,26.0,0.026,2487,0.07278290647710785,0.07423609324783025,0.0014885972624221135
14,28.0,0.028,2486,0.07742417579713998,0.07884675142979454,0.001581369078400295
15,30.0,0.03,2485,0.08234051970676584,0.08316052126659716,0.0016682226228079853
16,32.0,0.032,2484,0.08700683630684988,0.0873482302276546,0.0017525818685813954
17,34.0,0.034,2483,0.09183838197943583,0.09199383021707647,0.0018461642701251876
18,36.0,0.036,2482,0.09672876718049775,0.09559691468502997,0.0019188586640609517
19,38.0,0.038,2481,0.10191635105598454,0.10056956025440225,0.0020190783361710516
20,40.0,0.04,2480,0.10695738948422896,0.1050583259764727,0.002109621952161059
21,42.0,0.042,2479,0.11199415418453143,0.10939156368333777,0.002197078463262899
22,44.0,0.044,2478,0.11703306751963839,0.11397666785185818,0.002289629990674045
23,46.0,0.046,2477,0.12176990468741376,0.11808329607464267,0.0023726051233607217
24,48.0,0.048,2476,0.12672448646193038,0.12248847508104858,0.0024616137423140163
25,50.0,0.05,2475,0.1318539363126636,0.12709427652519553,0.0025546910802166536
26,52.0,0.052,2474,0.13713407975598613,0.1331427512468863,0.0026768108211125343
27,54.0,0.054,2473,0.14221474623675984,0.13735435609802876,0.0027620426417479223
28,56.0,0.056,2472,0.14767339491849923,0.1423993670692037,0.0028640713025792526
29,58.0,0.058,2471,0.152759733125343,0.14631357902381403,0.0029433930573244988
30,60.0,0.06,2470,0.1579628114956944,0.15189904308423471,0.003056374455744453
31,62.0,0.062,2469,0.1636851023269758,0.15810236054313487,0.0031818361318954633
32,64.0,0.064,2468,0.16932667551227748,0.16321381574882668,0.0032853704040444894
33,66.0,0.066,2467,0.1751313322582663,0.16839512115514005,0.0033903530867804713
34,68.0,0.068,2466,0.18086774082107623,0.17335047515527113,0.0034908283976861076
35,70.0,0.07,2465,0.18653934765472988,0.17833833541714555,0.0035919993291017
