block_start_ps,block_end_ps,block_center_ns,frames,height_mean_A,height_std_A,height_min_A,height_max_A,tilt_mean_deg,tilt_max_deg,temperature_mean_K,temperature_std_K
500.0,1000.0,0.25,251,3.338046702903158,0.12294141876017642,2.994509561600394,3.700153948149665,4.693099247907316,12.5872184382808,300.1692735809074,1.9384590624383085
1000.0,1500.0,0.75,250,3.338686227746041,0.12502369290697346,3.0280442409748494,3.7083217431323923,4.246147055905329,14.242630217054035,300.10192705800034,1.8341166929321697
1500.0,2000.0,1.25,250,3.3304114689171547,0.12899071238081597,2.989724090875146,3.719127455313807,4.469021218081189,11.476302767926898,299.95113740983317,2.0438683770557393
2000.0,2500.0,1.75,249,3.3523823393694205,0.12517055436640426,3.0031475836069736,3.660796000582976,4.49376952640771,11.983703123700003,299.9806825346819,2.0395757905630942
2500.0,3000.0,2.25,250,3.3359335497681206,0.1302325593237061,2.9953869479049526,3.714184643922528,3.9085817127821727,13.164829948832253,300.164432512864,1.9189119100657088
3000.0,3500.0,2.75,250,3.3461418597342245,0.12270022968946528,2.947570069654092,3.8133598284748897,4.257509833372112,11.566579268318458,299.8926449277402,2.092612317884251
3500.0,4000.0,3.25,250,3.34852496974329,0.12618224256330002,3.002829353267502,3.688383163995615,3.797856801813672,11.914725541097903,300.21218495241504,1.7893374695317856
4000.0,4500.0,3.75,250,3.3368676765327727,0.12938341280805934,2.961958274391796,3.612848483427932,4.00961804342018,11.101240513792431,300.10854817011545,1.9323463941346968
4500.0,5000.0,4.25,250,3.314441227496987,0.12601641534443805,2.9889153516989744,3.6616042974008414,3.9543777816977967,11.81844587186136,299.96263894270703,2.003868160780771
5000.0,5500.0,4.75,250,3.3324381397514555,0.13154911525985347,3.013638621647373,3.680809818512583,4.274697325367103,13.415622276824248,300.00735794638643,1.9098366043071984
